x,y,z,cycle,goal
-0.326657,-0.667145,0.796623,4,Pick
-0.343401,-0.676672,0.771969,4,Pick
-0.359558,-0.685042,0.747150,4,Pick
-0.375161,-0.692259,0.722267,4,Pick
-0.390241,-0.698336,0.697414,4,Pick
-0.404361,-0.703149,0.673499,4,Pick
-0.417171,-0.706726,0.651331,4,Pick
-0.428773,-0.709278,0.630930,4,Pick
-0.439255,-0.710999,0.612292,4,Pick
-0.448688,-0.712059,0.595395,4,Pick
-0.457134,-0.712610,0.580204,4,Pick
-0.464640,-0.712782,0.566680,4,Pick
-0.471248,-0.712685,0.554776,4,Pick
-0.476989,-0.712413,0.544448,4,Pick
-0.481889,-0.712045,0.535651,4,Pick
-0.485970,-0.711643,0.528346,4,Pick
-0.489246,-0.711259,0.522495,4,Pick
-0.491729,-0.710932,0.518070,4,Pick
-0.493429,-0.710690,0.515048,4,Pick
-0.494350,-0.710553,0.513411,4,Pick
-0.494534,-0.710525,0.513085,4,Pick
-0.494534,-0.710525,0.513085,4,Place
-0.494076,-0.710348,0.516015,4,Place
-0.492677,-0.709741,0.524833,4,Place
-0.490249,-0.708470,0.539617,4,Place
-0.486647,-0.706138,0.560480,4,Place
-0.481653,-0.702169,0.587553,4,Place
-0.474975,-0.695800,0.620944,4,Place
-0.466229,-0.686060,0.660695,4,Place
-0.454938,-0.671766,0.706711,4,Place
-0.440522,-0.651520,0.758681,4,Place
-0.422303,-0.623738,0.815969,4,Place
-0.399518,-0.586699,0.877506,4,Place
-0.371346,-0.538639,0.941659,4,Place
-0.336963,-0.477906,1.006119,4,Place
-0.295610,-0.403170,1.067826,4,Place
-0.246690,-0.313693,1.122952,4,Place
-0.190042,-0.209946,1.166900,4,Place
-0.128606,-0.098491,1.194104,4,Place
-0.064321,0.015791,1.202545,4,Place
0.001673,0.129463,1.191838,4,Place
0.068221,0.239108,1.162404,4,Place
0.132423,0.338834,1.116942,4,Place
0.191128,0.423531,1.060977,4,Place
0.243991,0.493307,0.998875,4,Place
0.290993,0.549126,0.934326,4,Place
0.332327,0.592485,0.870276,4,Place
0.368321,0.625150,0.808946,4,Place
0.399366,0.648952,0.751911,4,Place
0.425871,0.665656,0.700219,4,Place
0.448231,0.676863,0.654498,4,Place
0.466809,0.683975,0.615078,4,Place
0.481919,0.688170,0.582081,4,Place
0.493830,0.690406,0.555500,4,Place
0.502754,0.691431,0.535262,4,Place
0.508855,0.691798,0.521272,4,Place
0.512245,0.691882,0.513446,4,Place
0.513049,0.691890,0.511584,4,Place
0.513049,0.691890,0.511584,5,Pick
0.512122,0.691305,0.514217,5,Pick
0.509323,0.689500,0.522120,5,Pick
0.504595,0.686321,0.535303,5,Pick
0.497844,0.681505,0.553775,5,Pick
0.488933,0.674673,0.577532,5,Pick
0.477683,0.665326,0.606542,5,Pick
0.463862,0.652827,0.640714,5,Pick
0.447191,0.636401,0.679868,5,Pick
0.427329,0.615131,0.723681,5,Pick
0.403882,0.587966,0.771632,5,Pick
0.376402,0.553750,0.822927,5,Pick
0.344397,0.511268,0.876421,5,Pick
0.307360,0.459334,0.930539,5,Pick
0.264806,0.396905,0.983210,5,Pick
0.216333,0.323249,1.031830,5,Pick
0.161864,0.238372,1.073191,5,Pick
0.104103,0.146990,1.102860,5,Pick
0.044626,0.052324,1.119090,5,Pick
-0.015729,-0.043582,1.121333,5,Pick
-0.076035,-0.138632,1.109512,5,Pick
-0.135327,-0.230793,1.084025,5,Pick
-0.192393,-0.317801,1.045929,5,Pick
-0.243909,-0.394494,0.999188,5,Pick
-0.289082,-0.459913,0.947456,5,Pick
-0.328119,-0.514729,0.893514,5,Pick
-0.361430,-0.559939,0.839608,5,Pick
-0.389544,-0.596699,0.787468,5,Pick
-0.413038,-0.626203,0.738371,5,Pick
-0.432490,-0.649595,0.693210,5,Pick
-0.448442,-0.667917,0.652583,5,Pick
-0.461377,-0.682085,0.616862,5,Pick
-0.471713,-0.692875,0.586260,5,Pick
-0.479796,-0.700928,0.560885,5,Pick
-0.485903,-0.706757,0.540777,5,Pick
-0.490246,-0.710753,0.525941,5,Pick
-0.492978,-0.713198,0.516365,5,Pick
-0.494196,-0.714269,0.512035,5,Pick
-0.494274,-0.714337,0.511755,5,Pick
-0.494274,-0.714337,0.511755,5,Place
-0.493886,-0.715062,0.512649,5,Place
-0.492707,-0.717221,0.515346,5,Place
-0.490692,-0.720767,0.519888,5,Place
-0.487769,-0.725614,0.526347,5,Place
-0.483835,-0.731640,0.534815,5,Place
-0.478757,-0.738674,0.545402,5,Place
-0.472377,-0.746493,0.558225,5,Place
-0.464510,-0.754809,0.573399,5,Place
-0.454953,-0.763267,0.591021,5,Place
-0.443491,-0.771434,0.611154,5,Place
-0.429908,-0.778795,0.633803,5,Place
-0.414002,-0.784755,0.658893,5,Place
-0.395605,-0.788649,0.686241,5,Place
-0.374605,-0.789754,0.715530,5,Place
-0.350973,-0.787322,0.746282,5,Place
-0.324859,-0.780648,0.777757,5,Place
-0.297707,-0.769703,0.807830,5,Place
-0.270311,-0.754824,0.835469,5,Place
-0.243044,-0.736377,0.860230,5,Place
-0.216255,-0.714820,0.881741,5,Place
-0.190259,-0.690687,0.899718,5,Place
-0.165326,-0.664576,0.913973,5,Place
-0.141671,-0.637125,0.924418,5,Place
